NISAという言葉を聞いたことはあるけど、よくわからない。そんな人は多い。 | NISAって何？
実はNISAとは「税金がかからない投資の箱」だと思えばいい。 | 税金ゼロの箱
普通、投資で利益が出ると、約20%が税金として取られる。 | 利益の20%が消える
100万円儲かったら、20万円は国に持っていかれる計算だ。 | 100万円 → 手取り80万円
でもNISA口座で投資すれば、この20%がゼロになる。100万円儲かったら、100万円がそのまま手元に残る。 | NISAなら100万円まるごと
これは国が「投資を始めてほしい」と用意してくれた制度だ。使わない理由がない。 | 国が用意した制度
新NISAでは年間360万円まで投資できる。でもそんな大金は必要ない。 | 年360万円？関係ない
月1万円でいい。月5,000円でもいい。金額は関係ない。 | 月5,000円でも始められる
大事なのは「NISA口座を開いた」という事実だ。 | 口座を開くだけ
「でもどの証券会社がいいの？」と迷うだろう。 | どこで開く？
正直、大手ならどこでもいい。SBI証券でも楽天証券でもいい。 | 大手ならどこでもいい
完璧な選択を探すより、今日申し込む方が100倍大事だ。 | 今日申し込む方が大事
NISAは「使わないと損」な制度。でも、多くの人が知りながら動いていない。 | 知ってるのに動かない人
あなたは、知った。あとは動くだけだ。 | 知った。あとは動くだけ
最初の一歩は、証券口座の申し込みボタンを押すこと。それだけでいい。 | ボタンを押すだけ
